Title,Author
A collection for Kate,"DeRubertis, Barbara."
A con artist in Paris,"Dixon, Franklin W."
"A Confederate girl : the diary of Carrie Berry, 1864","Berry, Carrie, b. 1854."
A corner of the universe,"Martin, Ann M., 1955-"
A couple of April fools,"Maguire, Gregory."
"A covered wagon girl : the diary of Sallie Hester, 1849-1850","Hester, Sallie."
A coyote's in the house,"Leonard, Elmore, 1925-"
A crack in the track : a Thomas the Tank Engine story,illustrated by Tommy Stubbs.
A CRANKENSTEIN VALENTINE,SAMANTHA BERGER.
A crazy day with cobras,"Osborne, Mary Pope."
A crooked kind of perfect,"Urban, Linda."
A dandelion wish,"Thorpe, Kiki."
A dangerous path,"Hunter, Erin."
A day in the life of a colonial cabinetmaker,"Merrill, Amy French."
A day in the life of a colonial innkeeper,"Wilmore, Kathy."
A day in the life of a dancer,"Hayward, Linda."
A day in the life of Murphy,"Provensen, Alice."
A day with paramedics,"Shepherd, Jodie."
A day with police officers,"Shepherd, Jodie."
A dictionary of ancient Egypt,"Bunson, Margaret."
A different pond,"Phi, Bao, 1975-"
A dog's life : the autobiography of a stray,"Martin, Ann M."
A dollar = $1.00,"Molter, Carey, 1973-"
A dollar for Penny,"Glass, Julie."
"A dollar, a penny, how much and how many?","Cleary, Brian P., 1959-"
A dozen ducklings lost and found,"Ziefert, Harriet."
A fabumouse school adventure,"Stilton, Geronimo."
A fair bear share,"Murphy, Stuart J., 1942-"
A fair to remember,"Morgan, Melissa J."
A fairy in a dairy,"Nolan, Lucy A."
A fairy treasure hunt,"Meadows, Daisy."
A fairyland costume ball,"Meadows, Daisy."
A Family of five : Somos cinco.,"Thompson, Gare."
A far-fetched story,"Cates, Karin."
A farming town,"Roop, Peter."
"A fine, fine school","Creech, Sharon."
A firefly in a fir tree : a carol for mice,"Knight, Hilary."
A fly went by,"McClintock, Marshall, 1906-"
"A free Black girl before the Civil War : the diary of Charlotte Forten, 1854","Forten, Charlotte L."
A friend for Dragon : Dragon's first tale,"Pilkey, Dav, 1966-"
A friend for Minerva Louise,"Stoeke, Janet Morgan."
A friend for Sam,"Labatt, Mary, 1944-"
A frog in the bog,"Wilson, Karma."
A frozen heart,"Rudnick, Elizabeth,"
A garden for a groundhog,"Balian, Lorna."
A ghost in the house,"Wright, Betty Ren."
A ghost named Fred,"Benchley, Nathaniel, 1915-1981."
A ghost tale for Christmas time,"Osborne, Mary Pope."
A giant problem,"DiTerlizzi, Tony."
A giraffe and a half,"Silverstein, Shel."
A girl named Helen Keller,"Lundell, Margo."
"A girl, a goat, and a goose","McPhail, David, 1940-"
A glittering gallop,"Bentley, Sue, 1951-"
A good night for freedom,"Morrow, Barbara Olenyik."
A good night for ghosts,"Osborne, Mary Pope."
A great day for pup!,"Worth, Bonnie."
A Grimm warning,"Colfer, Chris."
A guide for using The Indian in the cupboard in the classroom,"Denny, Philip."
A handful of stars,"Lord, Cynthia."
A hare-raising tail,"Levy, Elizabeth, 1942-"
A hat for Minerva Louise,"Stoeke, Janet Morgan."
A head full of notions : a story about Robert Fulton,"Bowen, Andy Russell."
A hero's guide to deadly dragons,"Cowell, Cressida."
A hidden enemy,"Hunter, Erin,"
"A history of our own : Stafford County, Virginia","Conner, Albert Z., 1943-"
A hole in the world,"Hite, Sid."
A hole new world,Pat + Jen (YouTube personality)
A house for Birdie,"Murphy, Stuart J., 1942-"
A house for Hermit Crab,"Carle, Eric."
A huge hog is a big pig : a rhyming word game,"McCall, Francis X."
A is for America : an American alphabet,"Scillian, Devin."
A is for another rabbit,"Batsel, Hannah,"
A is for arches : a Utah alphabet,"Hall, Becky, 1950-"
A isn't for fox : an isn't alphabet,"Ulmer, Wendy K., 1950-"
A journey into a river,"Johnson, Rebecca L."
A journey into a wetland,"Johnson, Rebecca L."
A journey into an estuary,"Johnson, Rebecca L."
A journey into the ocean,"Johnson, Rebecca L."
A journey to the New World : the diary of Remember Patience Whipple,"Lasky, Kathryn."
A Katie Kazoo Christmas,"Krulik, Nancy E."
A Kenya Christmas,"Johnston, Tony, 1942-"
A killing in Plymouth Colony,"Hurst, Carol Otis."
A king's ransom,"Watson, Jude."
"A Kingfisher treasury of Bible stories, poems, and prayers for bedtime","Pilling, Ann."
A kiss for Little Bear,"Minarik, Else Holmelund."
A kiss goodbye,"Penn, Audrey, 1947-"
A kitten called Moonlight,"Waddell, Martin."
A know-nothing Halloween,"Spirn, Michele."
"A lesson for Martin Luther King, Jr.","Patrick, Denise Lewis."
A letter to Amy,"Keats, Ezra Jack."
A letter to my teacher,"Hopkinson, Deborah."
A light in the attic,"Silverstein, Shel."
"A lime, a mime, a pool of slime : more about nouns","Cleary, Brian P., 1959-"
A lion named Shirley Williamson,"Waber, Bernard."
"A long and uncertain journey : the 27,000-mile voyage of Vasco da Gama","Goodman, Joan E."
A long pitch home,"Lorenzi, Natalie Dias,"
A long way from Chicago : a novel in stories,"Peck, Richard, 1934-"
A merry Christmas cookbook,"Garces, Cristina,"
A million ways home,"Dorisi-Winget, Dianna."
"A mink, a fink, a skating rink : what is a noun?","Cleary, Brian P."
A monster of a mystery,"Dixon, Franklin W."
A more perfect union : the story of our Constitution,"Maestro, Betsy."
A mouse called Wolf,"King-Smith, Dick."
A mud pie for mother,"Beck, Scott."
A musical mess,"Keene, Carolyn."
A mutiny in time,"Dashner, James."
A nap in a lap,"Wilson, Sarah, 1934-"
"A nest for Celeste : a story about art, inspiration, and the meaning of home","Cole, Henry, 1955-"
A nest full of eggs,"Jenkins, Priscilla Belz."
A new beginning,"Bentley, Sue, 1951-"
A new brain for Igor,"O'Connor, Teddy, 1984-"
A new friend,"Bentley, Sue, 1951-"
A new improved Santa,"Wolff, Patricia Rae."
A pack divided,"Hunter, Erin."
A particular cow,"Fox, Mem, 1946-"
A Peanuts Valentine : share the love with this brand-new collection of Valentine's day favorites!,"Schulz, Charles M. (Charles Monroe), 1922-2000."
A penguin pup for Pinkerton,"Kellogg, Steven."
A perfect pair,"Madonna, 1958-"
A perfect time for pandas,"Osborne, Mary Pope."
A pet for Fly Guy,"Arnold, Tedd."
A pet for Pete,"Dean, James, 1957-"
A picnic in October,"Bunting, Eve, 1928-"
A picture book of Abraham Lincoln,"Adler, David A."
A picture book of Amelia Earhart,"Adler, David A."
A picture book of Benjamin Franklin,"Adler, David A."
A picture book of Davy Crockett,"Adler, David A."
A picture book of Dwight David Eisenhower,"Adler, David A."
A picture book of Florence Nightingale,"Adler, David A."
A picture book of Frederick Douglass,"Adler, David A."
A picture book of George Washington,"Adler, David A."
A picture book of George Washington Carver,"Adler, David A."
A picture book of Harriet Beecher Stowe,"Adler, David A."
A picture book of Harry Houdini,"Adler, David A."
A picture book of Helen Keller,"Adler, David A."
A picture book of Jackie Robinson,"Adler, David A."
A picture book of Jesse Owens,"Adler, David A."
A picture book of John F. Kennedy,"Adler, David A."
A picture book of Lewis and Clark,"Adler, David A."
A picture book of Louis Braille,"Adler, David A."
"A picture book of Martin Luther King, Jr.","Adler, David A."
A picture book of Patrick Henry,"Adler, David A."
A picture book of Paul Revere,"Adler, David A."
A picture book of Robert E. Lee,"Adler, David A."
A picture book of Sacagawea,"Adler, David A."
A picture book of Thomas Alva Edison,"Adler, David A."
A picture book of Thomas Jefferson,"Adler, David A."
A picture book of Thurgood Marshall,"Adler, David A."
A picture for Harold's room : a purple crayon adventure,"Johnson, Crockett, 1906-1975."
"A picture of freedom : the diary of Clotee, a slave girl","McKissack, Pat, 1944-"
A piece of cake,"Murphy, Jill."
A piece of home,"Watts, Jeri Hanel,"
A pig named Perrier,"Spurr, Elizabeth."
A piglet called Truffle,"Peters, Helen, (Children's fiction writer),"
A piglet named Mercy,"DiCamillo, Kate."
A pinch of magic,"Thorpe, Kiki."
A pioneer Christmas : celebrating in the backwoods in 1841,"Greenwood, Barbara, 1940-"
"A pioneer farm girl : the diary of Sarah Gillespie, 1877-1878","Gillespie, Sarah (Sarah L.)"
A pioneer Thanksgiving : a story of harvest celebrations in 1841,"Greenwood, Barbara, 1940-"
A pirate's night before Christmas,"Yates, Philip, 1956-"
A pizza the size of the sun : poems,"Prelutsky, Jack."
A place for Mike,"Blackaby, Susan."
A place for turtles,"Stewart, Melissa."
A place for Zero : a math adventure,"LoPresti, Angeline Sparagna."
A place to land : Martin Luther King Jr. and the speech that inspired a nation,"Wittenstein, Barry,"
A Plymouth partnership : Pilgrims and native Americans,"Whitehurst, Susan."
A pocket for Corduroy,"Freeman, Don, 1908-1978."
A poem for Peter : the story of Ezra Jack Keats and the creation of The snowy day,"Pinkney, Andrea Davis,"
A pony for a princess,"Posner-Sanchez, Andrea."
A porcupine named Fluffy,"Lester, Helen."
A quarter from the Tooth Fairy,"Holtzman, Caren."
A quiet place,"Wood, Douglas, 1951-"
A race against time,"Keene, Carolyn."
A rainbow of my own,"Freeman, Don, 1908-1978."
A remainder of one,"Pinczes, Elinor J."
A revolutionary field trip : poems of colonial America,"Katz, Susan."
A ring of endless light,"L'Engle, Madeleine."
A rock is lively,"Aston, Dianna Hutts."
A rockin' mystery,"Dixon, Franklin W."
A Roman villa,"Dargie, Richard."
A rose by any other name,"Madonna, 1958-"
A Rose for Pinkerton,"Kellogg, Steven."
A safe place called home,"Spinelli, Eileen."
A savage thunder : Antietam and the bloody road to freedom,"Murphy, Jim, 1947-"
A sea of animals,"Scott, Janine."
A sea otter to the rescue,"Feldman, Thea,"
A season of gifts,"Peck, Richard, 1934-"
A seed in need : a first look at the plant cycle,"Godwin, Sam."
A seed is sleepy,"Aston, Dianna Hutts."
A semi-charming kind of life : a school story,"Selfors, Suzanne,"
A shimmering splash,"Bentley, Sue, 1951-"
A shocker on Shock Street,"Stine, R. L."
A short history of Thanksgiving,"Lee, Sally, 1943-"
A signer for independence : John Hancock,"Raatma, Lucia."
A silly story,"Mayer, Mercer, 1943-"
A single shard,"Park, Linda Sue."
A snicker of magic,"Lloyd, Natalie."
A snout for chocolate,"Cazet, Denys."
A spy among the girls,"Naylor, Phyllis Reynolds."
A spy in the White House,"Roy, Ron, 1940-"
A star witness,"Keene, Carolyn."
A story for Bear,"Haseley, Dennis."
A surprise for Princess Ellie,"Kimpton, Diana."
A swiftly tilting planet,"L'Engle, Madeleine."
A tail of two kitties,"Watson, Tom, 1965-"
A tale for Easter,"Tudor, Tasha."
A tale of two kitties,"Pilkey, Dav,."
A tale of two sisters,"Lagonegro, Melissa."
A tale of two tails,"Winkler, Henry, 1945-"
A taste of danger,"Keene, Carolyn."
A Thanksgiving holiday cookbook,"Raabe, Emily."
A tiger called Thomas,"Zolotow, Charlotte, 1915-"
A time for courage : the suffragette diary of Kathleen Bowen,"Lasky, Kathryn."
A timeline of fighter jets and bomber planes,"Cooke, Tim, 1961-"
"A timeline of guns, missiles, and rockets","Cooke, Tim, 1961-"
A timeline of helicopters,"Cooke, Tim, 1961-"
A timeline of military robots and drones,"Cooke, Tim, 1961-"
A timeline of tanks and other armored vehicles,"Cooke, Tim, 1961-"
A timeline of warships,"Cooke, Tim, 1961-"
"A Titanic journey across the sea, 1912","Lawlor, Laurie."
A to Z of Autumn,"Maurer, Tracy, 1965-"
A to Z of Spring,"Maurer, Tracy, 1965-"
A to Z of summer,"Maurer, Tracy, 1965-"
A to Z of winter,"Maurer, Tracy, 1965-"
A to Z of women in world history,"Kuhlman, Erika A., 1961-"
A town,"Roop, Peter."
A traitor among the boys,"Naylor, Phyllis Reynolds."
A trip to the top of the volcano with Mouse : a Toon book,"Viva, Frank,"
A true home,"George, Kallie,"
A turkey for Thanksgiving,"Bunting, Eve, 1928-"
A very brave witch,"McGhee, Alison, 1960-"
A very scary Valentine's Day,"Balaban, Mariah, 1977-"
"A voice of her own : the story of Phillis Wheatley, slave poet","Lasky, Kathryn."
A walk in the boreal forest,"Johnson, Rebecca L."
A walk in the deciduous forest,"Johnson, Rebecca L."
A walk in the desert,"Johnson, Rebecca L."
A walk in the rain forest,"Johnson, Rebecca L."
A walk in the tundra,"Johnson, Rebecca L."
A wedding for Wiglaf?,"McMullan, Kate."
A weed is a flower : the life of George Washington Carver,Aliki.
A week in the woods,"Clements, Andrew."
A weekend at the Grand Hotel,"Labatt, Mary, 1944-"
A weekend with Wendell,"Henkes, Kevin."
A whirlwind vacation,"Krulik, Nancy E."
A whole new ballgame,"Bildner, Phil."
A winter's tale,"Dale, Jenny."
A wish for wings that work : an Opus Christmas story,"Breathed, Berke."
A wizard abroad,"Duane, Diane."
A wizard alone,"Duane, Diane."
A wonderlandiful world,"Hale, Shannon,"
"A world treasury of myths, legends, and folktales : stories from six continents","Bini, Renata."
A world without heroes,"Mull, Brandon, 1974-"
A wrinkle in time,"L'Engle, Madeleine."
A year down yonder,"Peck, Richard."
A. Lincoln and me,"Borden, Louise."
"A. Linwood Holton, Jr.","Donohue, Moira Rose."
Abe Lincoln at last!,"Osborne, Mary Pope."
"Abe Lincoln crosses a creek : a tall, thin tale (introducing his forgotten frontier friend)","Hopkinson, Deborah."
"Abe Lincoln goes to Washington, 1837-1865","Harness, Cheryl."
Abe Lincoln remembers,"Turner, Ann Warren."
Abe Lincoln's hat,"Brenner, Martha."
Abe's fish : a boyhood tale of Abraham Lincoln,"Bryant, Jennifer."
Abe's honest words : the life of Abraham Lincoln,"Rappaport, Doreen."
Abigail Adams,"Wallner, Alexandra."
Abigail the breeze fairy,"Meadows, Daisy."
Abiyoyo : based on a South African Lullaby and folk story,"Seeger, Pete, 1919-"
Abner & me,"Gutman, Dan."
About 100 years ago,"Trumbauer, Lisa, 1963-"
About arachnids : a guide for children,"Sill, Cathryn P., 1953-"
About average,"Clements, Andrew, 1949-"
About birds : a guide for children,"Sill, Cathryn P., 1953-"
About fish : a guide for children,"Sill, Cathryn P., 1953-"
Abraham Lincoln,"Blashfield, Jean F."
Abraham Lincoln,"Mara, Wil,"
Abraham Lincoln,"Mara, Wil."
Abraham Lincoln,"Raatma, Lucia."
Abraham Lincoln,"Schaefer, Lola M., 1950-"
"Abraham Lincoln : lawyer, leader, legend","Fontes, Justine."
"Abraham Lincoln : lawyer, president, emancipator","Nettleton, Pamela Hill."
Abraham Lincoln comes home,"Burleigh, Robert."
Absolutely not,"McElligott, Matthew."
Absolutely positively Alexander : the complete stories,"Viorst, Judith."
Abuela,"Dorros, Arthur."
Abuelo y los tres osos = : Abuelo and the three bears,"Tello, Jerry."
Accidentally fabulous,"Papademetriou, Lisa."
Accidentally famous,"Papademetriou, Lisa."
"Ace Lacewing, Bug Detective : bad bugs are my business","Biedrzycki, David."
Across five Aprils,"Hunt, Irene."
Across the lines,"Reeder, Carolyn."
"Act I, act II, act normal","Weston, Martha."
Action!,"Keene, Carolyn."
Actions with fractions,"Wiebe, Arthur J., Dr."
Actual size,"Jenkins, Steve, 1952-"
"Ada Twist, scientist","Beaty, Andrea."
Adaline Falling Star,"Osborne, Mary Pope."
Adele the voice fairy,"Meadows, Daisy."
Adelita : a Mexican Cinderella story,"DePaola, Tomie, 1934-"
Adventure according to Humphrey,"Birney, Betty G."
"Aesop, just in rhyme : a new, humorous version of the great fables for readers of all ages","Murphy, John W."
Aesop's fables,Jerry Pinkney.
Aesop's fables,"Sneed, Brad."
Aesop's fables,"Watson, Carol."
Africa,"Graf, Mike."
African-American faith in America,"Murphy, Larry (Larry G.)"
African-American holidays,"Winchester, Faith."
African-Americans in the colonies,"Williams, Jean Kinney."
"Africans in America, 1619-1865","Olson, Kay Melchisedech."
After the fall : how Humpty Dumpty got back up again,"Santat, Dan."
After the storm,"Brooke, Lauren."
Afternoon on the Amazon,"Osborne, Mary Pope."
Again!,"Gravett, Emily."
Against the odds,"Hof, Marjolijn, 1956-"
Against the tide,"Sutherland, Tui, 1978-"
Ahoy! ghost ship ahead,"James, Brian, 1976-"
"Air : outside, inside, and all around","Stille, Darlene R."
Air Force,"Loria, Laura."
Air Force Air Commandos,"Gordon, Nick."
Aircraft,"Lajiness, Katie."
Akiak : a tale from the Iditarod,"Blake, Robert J."
Al Capone does my homework,"Choldenko, Gennifer, 1957-"
Al Capone does my shirts,"Choldenko, Gennifer."
Al Capone shines my shoes,"Choldenko, Gennifer."
Al Capone throws me a curve,"Choldenko, Gennifer,"
Alamo all-stars,"Hale, Nathan,"
Albert,"Napoli, Donna Jo, 1948-"
Albert Einstein,"Rau, Dana Meachen, 1971-"
Albert Einstein,"Schaefer, Lola M., 1950-"
Albert Einstein : scientist and genius,"Slade, Suzanne."
Albert's birthday,"Tryon, Leslie."
Albert's Christmas,"Tryon, Leslie."
Albert's field trip,"Tryon, Leslie."
Albert's Halloween : the case of the stolen pumpkins,"Tryon, Leslie."
Albert's impossible toothache,"Williams, Barbara."
Albert's Thanksgiving,"Tryon, Leslie."
Alberto : the dancing alligator,"Waring, Richard."
Alex and the Wednesday chess club,"Wong, Janet S."
"Alexander and the terrible, horrible, no good, very bad day","Viorst, Judith."
Alexander and the wind-up mouse,"Lionni, Leo, 1910-1999."
Alexander Graham Bell,"Raatma, Lucia."
Alexander Graham Bell,"Schaefer, Lola M., 1950-"
Alexander Graham Bell : a photo-illustrated biography,"Linder, Greg, 1950-"
Alexander Hamilton,"McLeese, Don."
"Alexander y el día terrible, horrible, espantoso, horroroso (Alexander and the terrible, horrible, no good, very bad day)","Viorst, Judith."
"Alexander, que era rico el domingo pasado (Alexander, who used to be rich last Sunday)","Viorst, Judith."
"Alexander, who used to be rich last Sunday","Viorst, Judith."
"Alexander, who's not (do you hear me? I mean it!) going to move","Viorst, Judith."
Alexis cool as a cupcake,"Simon, Coco."
Alfie : (the turtle that disappeared),"Heder, Thyra."
"Alfred, Lord Tennyson","Tennyson, Alfred Tennyson, Baron, 1809-1892."
Algo bueno,"Munsch, Robert N., 1945-"
Ali Baba and the forty thieves,"Manning, Matthew K."
Alice and Greta : a tale of two witches,"Simmons, Steven J., 1946-"
Alice in Wonderland,"Warren, Eliza Gatewood."
Alice the fairy,"Shannon, David, 1959-"
Alice's adventures in Wonderland,"Carroll, Lewis, 1832-1898."
Alicia has a bad day,"Jahn-Clough, Lisa."
Alicia's best friends,"Jahn-Clough, Lisa."
Alien & Possum : friends no matter what,"Johnston, Tony, 1942-"
Alien & Possum hanging out,"Johnston, Tony, 1942-"
Alien escape,"Stilton, Geronimo."
Alien in the classroom,"Keene, Carolyn."
Aliens and UFOs : myth or reality?,"Hile, Lori."
Aliens are coming! : the true account of the 1938 War of the worlds radio broadcast,"McCarthy, Meghan."
Aliens in Woodford,"Labatt, Mary, 1944-"
Aliens love dinopants,"Freedman, Claire."
Alison the art fairy,"Meadows, Daisy."
All about Ellie,"Barkley, Callie."
All about J.K. Rowling,"McCarthy, Shaun, 1953-"
All about money,"Rosinsky, Natalie M. (Natalie Myra)"
All about owls,"Arnosky, Jim."
All about sharks,"Arnosky, Jim."
All about the weather,"Close, Edward,"
All alone in the universe,"Perkins, Lynne Rae."
All around the seasons,"Saltzberg, Barney."
All around Virginia : regions and resources,"Smith, Karla, 1947-"
All families are different,"Gordon, Sol, 1923-"
All for one,"Murphy, Jill."
All hail the queen,"David, Erica,"
All in a drop : how Antony van Leeuwenhoek discovered an invisible world,"Alexander, Lori,"
All in a night's work,"Specter, Baron, 1957-"
All keyed up,"Peters, Stephanie True, 1965-"
All kinds of kids,"Gardeski, Christina Mia."
All mixed up!,"Wayans, Kim."
All of the above : a novel,"Pearsall, Shelley."
All over me!: Por todas partes!,"Mead, Katherine."
All paws on deck,"Young, Jessica (Jessica E.),"
All pigs are beautiful,"King-Smith, Dick."
All that glitters,"Roberts, Rachel."
All that you are,"Hubbard, Woodleigh."
All the colors of the earth,"Hamanaka, Sheila."
All the lovely bad ones : a ghost story,"Hahn, Mary Downing."
All the places to love,"MacLachlan, Patricia."
All the water in the world,"Lyon, George Ella, 1949-"
All you need for a beach,"Schertle, Alice."
All you need for a snowman,"Schertle, Alice."
All's fairy in love and war,"Roberts, Rachel."
Allen Iverson,"Schmidt, Charles E., Jr."
"Allie, first at last","Cervantes, Angela,"
Alligator Sue,"Doucet, Sharon Arms."
Alligators,"Fitzgerald, Stephanie,"
Alligators,"Kendell, Patricia."
Alligators,"Murray, Julie, 1969-"
Alligators & crocodiles,"Wexo, John Bonnett."
Alligators and crocodiles,"Legg, Gerald."
Allosaurus,"Cohen, Daniel, 1936-"
Allosaurus,"Lee, Sally, 1943-"
Ally the dolphin fairy,"Meadows, Daisy."
Almost home,"Bauer, Joan, 1951-"
Almost late to school : and more school poems,"Shields, Carol Diggory."
Almost to freedom,"Nelson, Vaunda Micheaux."
Aloha Dolores,"Samuels, Barbara."
"Aloha, Kanani","Yee, Lisa."
Alpacas,"Hasselius, Michelle M., 1981-"
Alpha Oops! H is for Halloween,"Kontis, Alethea."
"Alphabeep : a zipping, zooming ABC","Pearson, Debora."
Alphabet mystery,"Wood, Audrey."
Alphabet soup : a feast of letters,"Gustafson, Scott."
Alphathoughts : alphabet poems,"Hopkins, Lee Bennett."
"Alvin Ho : allergic to girls, school, and other scary things","Look, Lenore."
Am I the princess or the frog?,"Benton, Jim."
Amanda Bean's amazing dream : a mathematical story,"Neuschwander, Cindy."
Amanda Pig and her best friend Lollipop,"Van Leeuwen, Jean."
"Amanda Pig and the awful, scary monster","Van Leeuwen, Jean."
Amanda Pig and the really hot day,"Van Leeuwen, Jean."
"Amanda Pig, schoolgirl","Van Leeuwen, Jean."
Amazing birds,"Parsons, Alexandra."
Amazing Grace,"Hoffman, Mary, 1945-"
Amazing NASCAR races,"Gigliotti, Jim."
Amazing Olympic records,"Hoblin, Paul."
Amber Brown is green with envy,"Danziger, Paula, 1944-2004."
Amber Brown is not a crayon,"Danziger, Paula, 1944-2004."
Amber the orange fairy,"Meadows, Daisy."
Amelia Bedelia,"Parish, Peggy."
Amelia Bedelia 4 mayor,"Parish, Herman."
Amelia Bedelia and the baby,"Parish, Peggy."
Amelia Bedelia bakes off,"Parish, Herman."
Amelia Bedelia chalks one up,"Parish, Herman."
Amelia Bedelia cleans up,"Parish, Herman."
Amelia Bedelia goes camping,"Parish, Peggy."
Amelia Bedelia goes wild!,"Parish, Herman."
Amelia Bedelia hits the trail,"Parish, Herman."
Amelia Bedelia joins the club,"Parish, Herman."
Amelia Bedelia makes a friend,"Parish, Herman."
Amelia Bedelia means business,"Parish, Herman."
Amelia Bedelia road trip!,"Parish, Herman."
Amelia Bedelia shapes up,"Parish, Herman."
Amelia Bedelia sleeps over,"Parish, Herman."
Amelia Bedelia ties the knot,"Parish, Herman."
Amelia Bedelia tries her luck,"Parish, Herman."
Amelia Bedelia unleashed,"Parish, Herman."
"Amelia Bedelia, cub reporter","Parish, Herman."
